file_name,function_name,complexity,tokens,triaged_out,model,llm_latency_s,verification_latency_s,verdict,orig_instrs,final_instrs,reduction_pct
3mm.bc,polybench_timer_stop,1,3100,True,,,,pending,3,3,0.0
3mm.bc,polybench_timer_print,1,3157,True,,,,pending,5,5,0.0
3mm.bc,polybench_free_data,1,3133,True,,,,pending,5,5,0.0
3mm.bc,polybench_alloc_data,1,3473,True,,,,pending,22,22,0.0
3mm.bc,xmalloc,3,3759,True,,,,pending,34,34,0.0
3mm.bc,main,1,5663,True,,,,pending,115,115,0.0
3mm.bc,init_array,9,6724,False,ollama/qwen2.5-coder:3b,,,pending,191,191,0.0
3mm.bc,kernel_3mm,10,7809,False,ollama/qwen2.5-coder:3b,,,pending,238,238,0.0
3mm.bc,print_array,3,4367,True,,,,pending,67,67,0.0
3mm.bc,rtclock,1,3075,True,,,,pending,1,1,0.0
3mm.bc,print_element,1,6899,True,,,,pending,203,203,0.0
bicg.bc,polybench_flush_cache,2,3644,True,,,,pending,40,40,0.0
bicg.bc,polybench_prepare_instruments,1,2881,True,,,,pending,2,2,0.0
bicg.bc,polybench_timer_start,1,2916,True,,,,pending,4,4,0.0
bicg.bc,polybench_timer_stop,1,2906,True,,,,pending,3,3,0.0
bicg.bc,polybench_timer_print,1,2963,True,,,,pending,5,5,0.0
bicg.bc,polybench_free_data,1,2939,True,,,,pending,5,5,0.0
bicg.bc,polybench_alloc_data,1,3279,True,,,,pending,22,22,0.0
bicg.bc,xmalloc,3,3565,True,,,,pending,34,34,0.0
bicg.bc,main,1,4621,True,,,,pending,79,79,0.0
bicg.bc,init_array,4,4610,True,,,,pending,92,92,0.0
bicg.bc,kernel_bicg,4,5083,True,,,,pending,114,114,0.0
bicg.bc,print_array,4,4806,True,,,,pending,98,98,0.0
bicg.bc,rtclock,1,2881,True,,,,pending,1,1,0.0
bicg.bc,print_element,1,6705,True,,,,pending,203,203,0.0
atax.bc,polybench_flush_cache,2,3615,True,,,,pending,40,40,0.0
atax.bc,polybench_prepare_instruments,1,2852,True,,,,pending,2,2,0.0
atax.bc,polybench_timer_start,1,2887,True,,,,pending,4,4,0.0
atax.bc,polybench_timer_stop,1,2877,True,,,,pending,3,3,0.0
atax.bc,polybench_timer_print,1,2934,True,,,,pending,5,5,0.0
atax.bc,polybench_free_data,1,2910,True,,,,pending,5,5,0.0
atax.bc,polybench_alloc_data,1,3250,True,,,,pending,22,22,0.0
atax.bc,xmalloc,3,3536,True,,,,pending,34,34,0.0
atax.bc,main,1,4248,True,,,,pending,65,65,0.0
atax.bc,init_array,4,4406,True,,,,pending,82,82,0.0
atax.bc,kernel_atax,5,5242,False,ollama/qwen2.5-coder:3b,52.869,,syntax_fail,123,123,0.0
atax.bc,print_array,2,3762,True,,,,pending,48,48,0.0
atax.bc,rtclock,1,2852,True,,,,pending,1,1,0.0
atax.bc,print_element,1,6676,True,,,,pending,203,203,0.0
doitgen.bc,polybench_flush_cache,2,4087,True,,,,pending,40,40,0.0
doitgen.bc,polybench_prepare_instruments,1,3324,True,,,,pending,2,2,0.0
